id,sceneId,cid,x,z,mirror
1244,116,1002653,19,2,0
1244,116,1001353,18,15,0
1243,116,1002653,8,16,0
1243,116,1001853,22,15,0
1243,116,1001353,22,0,0
1242,116,1002653,8,10,0
1242,116,1001353,17,3,0
1242,116,1001653,15,15,0
1241,116,1001653,20,0,0
1241,116,1001753,23,15,0
1241,116,1002553,8,9,0
1240,116,1002253,8,6,0
1240,116,1001653,4,15,0
1240,116,1001353,14,3,0
1240,116,1001553,17,15,0
1239,116,1001453,19,15,0
1239,116,1002453,8,11,0
1239,116,1001553,3,15,0
1239,116,1002653,19,6,0
1238,115,1002753,20,10,0
1237,115,1001853,20,3,0
1236,115,1001353,9,0,0
1235,115,1002553,20,15,0
1234,115,1001553,8,0,0
1233,115,1001853,12,0,0
1232,115,1002453,20,9,0
1231,115,1001653,10,0,0
1231,115,1001353,13,10,0
1230,115,1001553,6,15,0
1230,115,1001453,17,3,0
1229,115,1001653,4,3,0
1229,115,1001353,16,10,0
1228,115,1002453,13,20,0
1228,115,1001553,19,3,0
1227,115,1002253,20,11,0
1227,115,1002353,0,23,0
1226,115,1002653,20,13,0
1226,115,1001453,11,10,0
1225,115,1001353,18,3,0
1225,115,1002353,0,6,0
1225,115,1001853,10,10,0
1224,114,1001353,15,9,0
1223,114,1001553,13,20,0
1222,114,1001353,4,9,0
1221,114,1001553,11,20,0
1220,114,1001353,3,20,0
1219,114,1001653,14,9,0
1219,114,1001853,7,0,0
1218,114,1001553,16,9,0
1218,114,1001453,9,0,0
1217,114,1001353,11,0,0
1217,114,1001853,5,9,0
1216,114,1001653,10,0,0
1216,114,1001553,5,20,0
1215,114,1001853,8,20,0
1215,114,1001353,18,0,0
1214,114,1001553,10,9,0
1214,114,1001553,19,0,0
1213,114,1001353,8,0,0
1213,114,1001353,8,9,0
1212,114,1001553,6,0,0
1212,114,1001353,10,20,0
1211,114,1001353,15,0,0
1211,114,1001553,7,20,0
1210,114,1001553,17,20,0
1210,114,1001753,23,0,0
1209,114,1001353,18,9,0
1209,114,1001653,22,0,0
1208,114,1001353,6,20,0
1208,114,1001353,20,0,0
1207,114,1001353,12,20,0
1207,114,1001553,5,0,0
1206,114,1001853,14,20,0
1206,114,1001453,16,0,0
1205,114,1001853,12,9,0
1205,114,1001353,13,0,0
1204,114,1001553,12,0,0
1204,114,1001553,13,9,0
1203,114,1001553,9,9,0
1203,114,1001853,21,0,0
1202,114,1001553,18,20,0
1202,114,1001553,17,0,0
1200,2,1003853,3,0,0
1200,2,1004653,11,14,0
1199,2,1003953,5,0,0
1198,2,1004953,10,15,0
1198,2,1003853,7,0,0
1197,113,1001353,16,0,0
1196,113,1002353,9,20,0
1195,113,1001853,15,0,0
1194,113,1002453,9,2,0
1193,113,1001553,11,0,0
1192,113,1001553,12,0,0
1191,113,1001653,14,0,0
1190,113,1001853,14,20,0
1189,113,1001553,13,20,0
1188,113,1001553,17,0,0
1187,113,1002753,9,23,0
1186,113,1001353,3,7,0
1185,113,1001553,19,0,0
1184,113,1002653,9,16,0
1183,113,1002253,9,19,0
1182,113,1001453,4,7,0
1181,113,1001353,20,0,0
1180,113,1001453,8,7,0
1179,113,1001553,6,7,0
1178,2,1004253,12,4,1
1177,2,1004153,9,0,0
1176,2,1005253,12,1,0
1174,2,1004253,13,10,0
1173,2,1004753,14,13,0
1172,2,1005353,6,11,0
1171,2,1003953,1,0,0
1171,2,1005153,11,2,0
1170,2,1004553,14,12,0
1169,2,1003853,14,0,0
1169,2,1000959,12,12,0
1168,2,1004853,9,15,0
1167,2,1004053,0,4,0
1166,2,1003853,0,18,0
1165,2,1004053,0,6,0
1165,2,1005053,10,0,0
1164,2,1004953,11,13,0
1163,2,1003953,2,0,0
1162,2,1003853,10,14,0
1161,2,1004053,12,0,0
1160,2,1003953,0,5,0
1160,2,1003853,0,19,0
1159,2,1005053,12,5,0
1159,2,1003853,11,12,0
1159,2,1003953,1,19,0
1159,2,1003853,0,16,0
1157,112,1001553,13,0,0
1156,112,1001353,5,0,0
1155,112,1002653,18,7,0
1154,112,1002253,18,6,0
1153,112,1001353,3,0,0
1152,112,1001653,14,0,0
1151,112,1001353,9,0,0
1150,112,1002653,0,10,0
1149,112,1002353,0,6,0
1148,112,1001553,15,0,0
1147,112,1002453,0,15,0
1146,112,1001353,11,0,0
1145,112,1001453,12,0,0
1144,112,1001553,4,0,0
1143,112,1001553,6,0,0
1142,112,1001553,10,0,0
1141,112,1002453,0,13,0
1140,111,1002253,9,13,0
1139,111,1001853,4,0,0
1138,111,1001653,17,0,0
1137,111,1001553,7,0,0
1136,111,1002453,9,17,0
1135,111,1002353,9,15,0
1134,111,1001553,3,0,0
1133,111,1002253,9,18,0
1132,111,1002253,9,16,0
1131,111,1001653,6,0,0
1130,111,1002453,16,12,0
1129,111,1001553,8,0,0
1128,111,1002453,9,14,0
1127,111,1002653,9,12,0
1126,111,1002553,9,20,0
1125,111,1002553,9,11,0
1124,111,1002453,0,20,0
1124,111,1001753,20,0,0
1123,111,1001353,2,0,0
1123,111,1002353,0,17,0
1122,110,1001553,7,17,0
1121,110,1001553,16,0,0
1120,110,1001353,13,0,0
1119,110,1001353,15,0,0
1118,110,1001653,12,0,0
1117,110,1001553,14,0,0
1116,110,1001353,9,0,0
1115,110,1001553,4,0,0
1114,110,1002653,0,6,0
1113,110,1001653,7,0,0
1112,110,1001353,8,0,0
1111,110,1001553,12,17,0
1110,110,1001453,13,17,0
1109,110,1001853,10,17,0
1108,110,1001653,14,17,0
1107,110,1001853,10,0,0
1107,110,1001753,5,17,0
1106,110,1002353,17,5,0
1106,110,1001453,6,17,0
1105,110,1002653,0,3,0
1105,110,1001653,3,17,0
1104,108,1001853,3,9,0
1103,108,1001453,9,20,0
1102,108,1001453,5,20,0
1101,108,1002553,20,14,0
1100,108,1001453,5,0,0
1099,108,1001353,11,0,0
1098,108,1001553,1,9,0
1097,108,1001453,11,20,0
1096,108,1001353,2,9,0
1095,108,1001353,10,0,0
1094,108,1001353,8,20,0
1093,108,1001653,14,6,0
1092,108,1001553,8,9,0
1091,108,1002553,0,17,0
1090,108,1001353,7,20,0
1089,108,1001353,14,20,0
1088,108,1001453,13,20,0
1087,108,1002653,9,13,0
1086,108,1001753,7,0,0
1085,108,1001453,17,20,0
1085,108,1001353,17,0,0
1084,108,1001553,20,0,0
1084,108,1001553,5,9,0
1083,108,1001353,12,20,0
1083,108,1001353,19,0,0
1082,108,1001553,13,0,0
1082,108,1001353,18,20,0
1081,108,1001553,3,0,0
1081,108,1001653,18,0,0
1080,108,1002653,9,8,0
1080,108,1001653,21,0,0
1079,108,1001853,12,0,0
1079,108,1001653,6,0,0
1078,108,1002553,0,22,0
1078,108,1002653,20,15,0
1078,108,1001553,16,0,0
1077,109,1001553,13,24,0
1076,109,1001453,15,24,0
1075,109,1001553,10,0,0
1075,109,1002253,12,13,0
1074,109,1002453,5,19,0
1074,109,1001453,15,0,0
1073,109,1001853,3,9,0
1073,109,1001553,9,0,0
1072,109,1001653,24,7,0
1072,109,1001453,2,9,0
1071,109,1002453,5,3,0
1071,109,1001553,23,7,0
1070,109,1001453,16,0,0
1070,109,1001453,10,24,0
1069,109,1001553,22,7,0
1069,109,1001553,8,0,0
1068,109,1002353,5,4,0
1068,109,1001553,17,0,0
1067,109,1001553,14,24,0
1067,109,1001553,14,0,0
1066,106,1001553,6,8,0
1065,106,1002453,0,14,0
1064,106,1001653,5,8,0
1063,106,1002553,0,15,0
1062,106,1001553,4,8,0
1061,106,1002553,0,11,0
1060,106,1002553,0,5,0
1059,106,1002453,0,6,0
1058,106,1002653,0,13,0
1057,107,1001453,1,0,0
1056,107,1001753,4,18,0
1055,107,1001553,8,0,0
1054,107,1001453,19,23,0
1053,107,1001653,11,0,0
1052,107,1001553,5,18,0
1051,107,1001453,15,0,0
1050,107,1001453,22,23,0
1049,107,1001553,12,0,0
1048,107,1001853,6,0,0
1047,107,1001553,13,0,0
1046,107,1001453,25,0,0
1045,107,1001553,5,0,0
1044,107,1002653,14,8,0
1044,107,1001653,21,11,0
1043,107,1001553,18,23,0
1043,107,1002553,14,21,0
1042,107,1002253,22,5,0
1042,107,1001453,24,0,0
1041,107,1002553,14,7,0
1041,107,1001453,20,11,0
1040,107,1002553,0,13,0
1040,107,1001453,21,23,0
1040,107,1002253,14,14,0
1039,107,1002253,0,5,0
1039,107,1002553,14,9,0
1039,107,1001753,17,0,0
1038,107,1001553,2,0,0
1038,107,1002253,0,15,0
1038,107,1002253,14,4,0
1037,107,1002253,14,6,0
1037,107,1002553,0,9,0
1037,107,1001653,16,0,0
1036,107,1002553,0,17,0
1036,107,1002253,14,22,0
1036,107,1001453,9,0,0
1035,106,1001553,9,16,0
1034,106,1001553,12,8,0
1033,106,1001353,17,16,0
1032,106,1001353,3,8,0
1031,106,1001453,13,8,0
1029,106,1001453,11,8,0
1028,106,1001853,20,16,0
1027,106,1001453,18,8,0
1026,106,1001553,13,16,0
1025,106,1001453,14,8,0
1024,106,1001353,16,16,0
1023,106,1001853,6,0,0
1022,106,1001553,8,0,0
1021,106,1001853,7,8,0
1020,106,1002753,19,5,0
1020,106,1001853,20,0,0
1019,106,1002653,19,4,0
1019,106,1002053,19,8,0
1018,106,1002553,19,3,0
1018,106,1001453,7,0,0
1017,106,1002353,19,2,0
1017,106,1001453,14,16,0
1016,106,1001353,10,8,0
1016,106,1001953,19,0,0
1015,106,1002253,19,1,0
1015,106,1001553,11,16,0
1014,106,1001553,3,0,0
1014,106,1002253,19,7,0
1013,106,1001853,23,0,0
1013,106,1002553,19,6,0
1013,106,1001453,5,20,0
1002,101,1001653,13,0,0
1001,101,1001453,3,0,0
1000,101,1001853,14,0,0
999,101,1001453,5,0,0
999,101,1002253,0,12,0
998,101,1002653,0,9,0
998,101,1001753,23,0,0
997,101,1001853,7,0,0
997,101,1002653,0,17,0
996,101,1002653,0,20,0
996,101,1001353,15,0,0
995,101,1002353,0,4,0
995,101,1001853,21,0,0
990,2,1003853,15,0,0
982,2,1003853,0,0,0
980,2,1003853,0,9,0
979,2,1001059,10,3,0
975,2,1000653,1,16,1
973,2,1003853,0,7,0
971,2,1003853,0,11,0
950,109,1002553,5,25,0
949,109,1002153,5,21,0
948,109,1002053,17,7,0
947,109,1001953,5,0,0
946,109,1002353,0,13,0
945,109,1002153,5,18,0
943,109,1002353,0,10,0
942,109,1001953,0,9,0
941,109,1001553,16,24,0
940,109,1002353,5,17,0
938,109,1002653,12,8,0
937,109,1002153,18,21,0
937,109,1002153,5,16,0
936,109,1002553,18,19,0
936,109,1001853,7,0,0
936,109,1002153,5,23,0
935,109,1002353,5,24,0
935,109,1002353,12,11,0
934,109,1001753,19,0,0
934,109,1002553,12,17,0
934,109,1002553,5,15,0
933,109,1002353,5,7,0
933,109,1002153,17,3,0
932,109,1002253,18,23,0
932,109,1002753,5,26,0
932,109,1001853,18,0,0
931,109,1002153,12,10,0
931,109,1001653,1,9,0
930,109,1002453,5,2,0
930,109,1001853,17,24,0
929,109,1002753,12,9,0
928,109,1002053,18,24,0
928,109,1002353,17,4,0
927,109,1002153,5,5,0
927,109,1001453,13,7,0
927,109,1001353,12,0,0
926,109,1002653,5,22,0
926,109,1002153,12,12,0
926,109,1001453,13,0,0
925,109,1001453,12,24,0
925,109,1002153,17,5,0
924,109,1002153,18,20,0
924,109,1002053,5,9,0
923,109,1002353,12,15,0
923,109,1001453,6,0,0
922,109,1002153,5,20,0
922,109,1002153,12,14,0
921,109,1002353,18,22,0
921,109,1003153,17,13,1
921,109,1002753,0,14,0
920,109,1001953,12,7,0
920,109,1002553,5,8,0
920,109,1003753,24,14,0
920,109,1001753,25,7,0
919,109,1001753,4,9,0
919,109,1003653,24,12,0
919,109,1001653,11,0,0
919,109,1002153,5,6,0
918,109,1002253,17,6,0
918,109,1001353,11,24,0
918,109,1002353,18,18,0
918,109,1003453,24,9,0
917,109,1001453,21,7,0
917,109,1003353,22,11,0
917,109,1002653,5,1,0
917,109,1001453,16,7,0
916,109,1003653,14,16,0
916,109,1001853,26,7,0
916,109,1001753,9,24,0
916,109,1002253,12,16,0
876,117,1002153,10,4,0
874,117,1002253,10,1,0
871,117,1001353,15,7,0
868,117,1001753,9,7,0
866,117,1002653,6,15,0
866,117,1001953,6,13,0
865,117,1002653,10,3,0
865,117,1002253,6,14,0
863,117,1002053,10,7,0
863,117,1002353,6,21,0
862,117,1001553,3,7,0
862,117,1002253,0,8,0
861,117,1001453,11,13,0
861,117,1002153,0,10,0
861,117,1002553,10,2,0
860,117,1001753,23,13,0
858,117,1001453,23,27,0
858,117,1002553,27,21,0
858,117,1002353,0,13,0
858,117,1001353,17,13,0
858,117,1001953,0,7,0
857,117,1001653,10,13,0
856,117,1002153,27,20,0
856,117,1002153,0,12,0
856,117,1002353,10,5,0
855,117,1002453,27,22,0
855,117,1001553,6,27,0
854,117,1002153,27,15,0
854,117,1001453,22,13,0
853,117,1001353,26,27,0
853,117,1002553,0,20,0
853,117,1002153,6,20,0
853,117,1002153,0,14,0
852,117,1001953,10,0,0
852,117,1001453,7,13,0
852,117,1002753,0,19,0
851,117,1003753,10,15,1
851,117,1002153,0,11,0
851,117,1002353,27,13,0
850,117,1003753,19,15,1
850,117,1002153,27,18,0
849,117,1001453,14,0,0
849,117,1003353,7,16,0
849,117,1002353,6,17,0
849,117,1002053,27,27,0
849,117,1002153,0,26,0
849,117,1002753,27,25,0
848,117,1002153,0,21,0
848,117,1003253,10,14,0
847,117,1003253,19,14,0
847,117,1002153,27,24,0
847,117,1001453,11,0,0
846,117,1001453,16,13,0
846,117,1001453,7,7,0
846,117,1002153,27,12,0
846,117,1001353,3,27,0
846,117,1003553,12,14,1
845,117,1001653,1,7,0
845,117,1003653,7,14,0
845,117,1001753,9,27,0
845,117,1002753,6,16,0
844,117,1003353,18,14,0
844,117,1002553,6,22,0
844,117,1002153,0,17,0
843,117,1002453,0,23,0
843,117,1001653,19,27,0
843,117,1003753,16,14,1
843,117,1001453,19,7,0
843,117,1002353,27,17,0
842,117,1002353,0,18,0
842,117,1003353,11,14,0
842,117,1001453,24,7,0
842,117,1002153,27,16,0
841,117,1002153,10,6,0
841,117,1002153,0,24,0
841,117,1003653,14,14,0
840,116,1001353,1,0,0
839,116,1002253,0,1,0
838,116,1001653,3,0,0
837,116,1002353,0,4,0
836,116,1001953,19,0,0
835,116,1001453,1,15,0
834,116,1002053,8,20,0
833,116,1002153,0,22,0
831,116,1002153,0,16,0
830,116,1002053,14,20,0
829,116,1002753,0,2,0
827,116,1002053,19,3,0
826,116,1002653,0,6,0
824,116,1001953,14,15,0
824,116,1002453,8,14,0
823,116,1001353,16,15,0
823,116,1002153,0,3,0
823,116,1001653,16,3,0
822,116,1001853,5,15,0
822,116,1002753,8,19,0
821,116,1001753,2,15,0
821,116,1001453,12,3,0
820,116,1001953,8,0,0
819,116,1002553,0,5,0
819,116,1002353,8,8,0
819,116,1001553,20,15,0
819,116,1001853,5,3,0
818,116,1001653,21,15,0
818,116,1002353,8,1,0
818,116,1001953,0,15,0
818,116,1002253,19,1,0
818,116,1002553,8,13,0
817,116,1002053,8,3,0
817,116,1002253,14,16,0
817,116,1001353,9,0,0
817,116,1002353,8,18,0
816,116,1002153,8,2,0
816,116,1002153,14,19,0
816,116,1002553,8,7,0
816,116,1001953,0,0,0
816,116,1003753,4,16,1
815,116,1002153,8,15,0
815,116,1003553,1,16,0
815,116,1001553,6,3,0
814,116,1001453,13,20,0
814,116,1003353,15,18,0
814,116,1001753,7,3,0
813,116,1002653,14,18,0
813,116,1001253,10,0,0
813,116,1001253,6,20,0
813,116,1003253,3,22,0
812,116,1003653,15,16,0
812,116,1001253,4,3,0
812,116,1001453,7,20,0
812,116,1002253,0,23,0
812,116,1001753,23,0,0
811,116,1001253,12,20,0
811,116,1001753,11,0,0
811,116,1001453,21,0,0
811,116,1003353,10,12,1
811,116,1002753,14,17,0
811,116,1002753,19,7,0
811,116,1002153,8,12,0
811,116,1001453,2,0,0
810,115,1001653,2,19,0
809,115,1001953,0,19,0
808,115,1002153,13,14,0
807,115,1001753,9,10,0
806,115,1002053,3,19,0
805,115,1001453,7,15,0
804,115,1002653,8,11,0
804,115,1001453,21,3,0
803,115,1002653,13,17,0
803,115,1002353,20,8,0
801,115,1001753,15,0,0
800,115,1002253,13,5,0
800,115,1002353,13,19,0
799,115,1002753,13,18,0
798,115,1001753,19,20,0
798,115,1002553,20,7,0
797,115,1002653,5,1,0
797,115,1002153,8,14,0
796,115,1001753,14,10,0
796,115,1002253,20,19,0
795,115,1001953,3,15,0
795,115,1002153,20,16,0
794,115,1002053,5,3,0
793,115,1002153,13,16,0
792,115,1002153,3,17,0
791,115,1002153,13,4,0
791,115,1002353,8,12,0
790,115,1002153,20,18,0
789,115,1001253,13,0,0
788,115,1001953,0,3,0
788,115,1002353,13,3,0
787,115,1001753,5,15,0
786,115,1001653,22,3,0
786,115,1001453,17,20,0
785,115,1001353,1,19,0
784,115,1002553,5,2,0
783,115,1001853,15,10,0
782,115,1002153,13,21,0
781,115,1002153,13,23,0
781,115,1001453,7,0,0
780,115,1001353,6,0,0
780,115,1001953,8,10,0
779,115,1002453,20,12,0
778,115,1001553,12,10,0
778,115,1001953,5,0,0
777,115,1002353,13,15,0
776,115,1001653,18,20,0
776,115,1002653,13,6,0
774,115,1002553,13,22,0
773,115,1001553,11,0,0
773,115,1002053,8,15,0
772,115,1002453,0,20,0
772,115,1001753,23,3,0
771,115,1002153,8,13,0
770,115,1001253,14,0,0
769,115,1001753,1,3,0
769,115,1001853,4,15,0
769,115,1002353,20,17,0
768,115,1002253,3,16,0
768,115,1001853,3,3,0
767,115,1001653,16,0,0
767,115,1002053,20,20,0
766,115,1002353,3,18,0
766,115,1002153,20,14,0
766,115,1001453,2,3,0
765,101,1003453,20,7,0
764,114,1002553,0,13,0
763,114,1002753,0,14,0
762,114,1002653,0,15,0
761,114,1001953,0,0,0
760,114,1001953,0,9,0
757,114,1002753,0,2,0
756,114,1001553,17,9,0
754,114,1002253,0,10,0
753,114,1001653,1,9,0
752,114,1002053,20,9,0
749,114,1001453,4,0,0
746,114,1001453,11,9,0
745,114,1002653,0,1,0
741,114,1002153,0,12,0
737,114,1001853,19,9,0
736,114,1001453,6,9,0
735,114,1002353,0,11,0
734,114,1001753,7,9,0
731,114,1002153,0,3,0
726,114,1001353,1,0,0
722,114,1001953,0,20,0
721,114,1001453,9,20,0
719,114,1002153,20,17,0
718,114,1002653,20,19,0
717,114,1002553,20,13,0
715,114,1002153,20,14,0
713,114,1001753,1,20,0
712,114,1001353,16,20,0
709,114,1002453,0,21,0
708,114,1002053,20,20,0
706,114,1001653,19,20,0
704,114,1002353,20,18,0
703,114,1002153,20,15,0
701,114,1001553,15,20,0
699,114,1002353,20,6,0
699,114,1002153,20,16,0
698,114,1002153,20,8,0
698,114,1001453,4,20,0
697,114,1003153,22,17,1
697,114,1002153,20,4,0
696,114,1001853,2,20,0
696,114,1002653,20,5,0
696,114,1002953,14,11,0
695,114,1003053,10,22,0
695,114,1002753,20,7,0
695,114,1001453,14,0,0
692,113,1002353,9,4,0
690,113,1002153,9,3,0
687,113,1002153,18,4,0
686,113,1001853,22,0,0
685,113,1001253,21,0,0
684,113,1001453,18,0,0
683,113,1002253,9,1,0
682,113,1002353,18,18,0
682,113,1001753,1,7,0
681,113,1002153,9,15,0
681,113,1001353,5,7,0
680,113,1002153,18,7,0
680,113,1001953,18,17,0
679,113,1002153,9,21,0
678,113,1002453,9,18,0
678,113,1001753,10,0,0
677,113,1002353,9,14,0
675,113,1002153,9,5,0
675,113,1002153,9,17,0
674,113,1001753,19,17,0
674,113,1002053,9,7,0
672,113,1001453,23,0,0
672,113,1001653,16,20,0
671,113,1001453,15,20,0
670,113,1002553,18,5,0
668,113,1001353,20,17,0
668,113,1001853,2,7,0
667,113,1002153,18,19,0
666,113,1002153,9,13,0
666,113,1001453,13,0,0
664,113,1002153,9,6,0
663,113,1002353,0,8,0
663,113,1001753,17,20,0
663,113,1001553,7,7,0
662,113,1002053,18,20,0
662,113,1002553,9,22,0
661,113,1002353,18,6,0
661,113,1003753,19,6,0
661,113,1001853,23,17,0
661,113,1001953,0,7,0
660,113,1002353,0,11,0
660,113,1001953,9,0,0
660,113,1002153,9,12,0
660,113,1003353,20,5,0
657,112,1002253,0,1,0
655,112,1001753,1,0,0
653,112,1002153,0,5,0
652,112,1001353,19,0,0
651,112,1002553,0,11,0
649,112,1001453,2,0,0
647,112,1002453,0,3,0
646,112,1001753,18,0,0
644,112,1002153,0,8,0
642,112,1002153,0,14,0
641,112,1001653,20,0,0
641,112,1002553,18,11,0
640,112,1002153,18,9,0
639,112,1002153,14,3,0
639,112,1001853,7,0,0
638,112,1002153,0,16,0
638,112,1002653,12,17,0
637,112,1002253,12,15,0
636,112,1001453,16,0,0
636,112,1002353,14,5,0
635,112,1002153,12,20,0
634,112,1002653,0,2,0
634,112,1002753,12,18,0
633,112,1002153,0,12,0
633,112,1001853,17,14,0
632,112,1002653,18,12,0
632,112,1002153,0,9,0
631,112,1002153,18,8,0
631,112,1002153,0,7,0
630,112,1002353,18,10,0
629,112,1002353,12,16,0
627,112,1002153,12,19,0
627,112,1002353,0,20,0
627,112,1001853,17,0,0
626,112,1001953,0,0,0
626,112,1002153,18,13,0
626,112,1002353,0,17,0
625,112,1001653,13,14,0
625,112,1002053,18,14,0
625,112,1002253,14,4,0
625,112,1002153,0,4,0
624,112,1001453,8,0,0
624,112,1001953,12,14,0
624,112,1001453,16,14,0
623,111,1001653,1,0,0
622,111,1002153,0,4,0
620,111,1002153,0,16,0
619,111,1001353,9,0,0
617,111,1002153,9,6,0
616,111,1001353,15,17,0
615,111,1002153,16,10,0
613,111,1002753,9,19,0
612,111,1002553,0,6,0
611,111,1002353,0,7,0
608,111,1002353,9,5,0
605,111,1002753,0,2,0
603,111,1001453,10,0,0
602,111,1002153,16,14,0
600,111,1002153,9,10,0
597,111,1002153,16,5,0
596,111,1002753,0,11,0
595,111,1002153,16,7,0
593,111,1002153,16,9,0
592,111,1002253,16,16,0
591,111,1002553,0,15,0
590,111,1002253,0,3,0
589,111,1001453,14,17,0
588,111,1002353,16,1,0
587,111,1002253,9,4,0
586,111,1002753,16,3,0
585,111,1002753,9,9,0
584,111,1002153,0,5,0
583,111,1002653,0,1,0
582,111,1002153,0,10,0
580,111,1002453,16,11,0
579,111,1001753,13,17,0
578,111,1002153,0,14,0
575,111,1001453,5,0,0
574,111,1002153,9,8,0
573,111,1001953,0,0,0
571,111,1002153,0,13,0
570,111,1001753,12,0,0
568,111,1002153,0,9,0
567,111,1002153,16,13,0
566,111,1001953,16,0,0
565,111,1002353,16,6,0
563,111,1002153,16,15,0
562,111,1002153,16,8,0
561,111,1002153,16,4,0
560,111,1002653,16,2,0
557,111,1002153,0,12,0
556,111,1002053,16,17,0
555,111,1003253,2,12,1
554,111,1001853,11,0,0
553,111,1003353,4,2,0
553,111,1003753,11,1,1
553,111,1002653,0,8,0
553,111,1003153,18,4,1
553,111,1002153,9,7,0
551,110,1001853,3,0,0
550,110,1001353,2,0,0
549,110,1003253,5,3,1
548,110,1002153,17,11,0
547,110,1002153,0,2,0
546,110,1002653,0,20,0
545,110,1002153,17,6,0
542,110,1002153,17,14,0
539,110,1001753,6,0,0
537,110,1002753,0,1,0
535,110,1002353,0,19,0
534,110,1002153,17,9,0
533,110,1001453,11,0,0
532,110,1001953,0,0,0
531,110,1002653,17,4,0
527,110,1002053,17,17,0
526,110,1002153,17,12,0
524,110,1002353,17,7,0
523,110,1002753,17,10,0
521,110,1001353,8,17,0
520,110,1002253,0,18,0
518,110,1002653,17,15,0
516,110,1001453,5,0,0
515,110,1001653,9,17,0
513,110,1001653,1,0,0
512,110,1001453,4,17,0
511,110,1002153,17,13,0
510,110,1001853,16,17,0
504,110,1001953,0,17,0
502,110,1002153,17,8,0
502,110,1001753,20,0,0
501,110,1001553,11,17,0
